Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.19     44.69     0.09                             RandomNumberGenerator::generate()
  0.19     44.78     0.09                             std::_Rb_tree_const_iterator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >::operator==(std::_Rb_tree_const_iterator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > const&) const
  0.19     44.87     0.09                             int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.19     44.96     0.09                             int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.18     45.04     0.09                             std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.17     45.12     0.08                             DesineModel::execute(int const&)
  0.17     45.20     0.08                             std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.17     45.28     0.08                             std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >::end()
  0.17     45.36     0.08                             std::vector<int, std::allocator<int> >::~vector()
  0.17     45.44     0.08                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >*, std::_Rb_tree_node<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >*, int const&)
  0.15     45.51     0.07                             __gnu_cxx::new_allocator<int>::max_size() const
  0.15     45.58     0.07                             std::map<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::end() const
  0.15     45.65     0.07                             std::deque<int, std::allocator<int> >::push_front(int const&)
  0.15     45.72     0.07                             std::__deque_buf_size(unsigned long)
  0.12     45.78     0.06                             std::less<double>::operator()(double const&, double const&) const
  0.12     45.84     0.06                             std::_Rb_tree_const_iterator<std::pair<int const, Link*> >::_Rb_tree_const_iterator()
  0.12     45.90     0.06                             _GLOBAL__sub_I__ZN10DesineDataC2ERKSsRKmS3_
  0.12     45.96     0.06                             std::_Rb_tree_const_iterator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >::_Rb_tree_const_iterator()
  0.11     46.02     0.06                             operator new(unsigned long, void*)
  0.10     46.07     0.05                             MinHopLCFVisitor::getCost(AbstractNetworkElement const*) const
  0.10     46.12     0.05                             std::_Rb_tree_iterator<std::pair<int const, double> >::operator*() const
  0.10     46.17     0.05                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, Link*> >*, std::_Rb_tree_node<std::pair<int const, Link*> >*, int const&)
  0.10     46.22     0.05                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_S_left(std::_Rb_tree_node_base const*)
  0.10     46.27     0.05                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_S_right(std::_Rb_tree_node_base const*)
  0.08     46.31     0.04                             __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.08     46.35     0.04                             Link::getDestination() const
  0.08     46.39     0.04                             Time::getTime() const
  0.08     46.43     0.04                             LinkList::getIterator(int const&) const
  0.08     46.47     0.04                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::find(int const&) const
  0.08     46.51     0.04                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_S_value(std::_Rb_tree_node_base const*)
  0.07     46.54     0.04                             LinkList::find(int const&, int const&) const
  0.07     46.58     0.04                             std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.07     46.61     0.04                             std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.06     46.64     0.03                             LinkListIterator::~LinkListIterator()
  0.06     46.67     0.03                             __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.06     46.70     0.03                             Link::getQoS(int const&) const
  0.06     46.73     0.03                             std::_Deque_iterator<int, int&, int*>::operator+(long) const
  0.06     46.76     0.03                             std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.06     46.79     0.03                             std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.06     46.82     0.03                             std::vector<int, std::allocator<int> >::vector()
  0.05     46.85     0.03                             LinkList::getIterator() const
  0.05     46.87     0.03                             void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.05     46.90     0.03                             int* std::__copy_move_backward_a<true, int*, int*>(int*, int*, int*)
  0.04     46.92     0.02                             UniformVar::generate()
  0.04     46.94     0.02                             MinHopLCFVisitor::visitLink(AbstractNetworkElement const*)
  0.04     46.96     0.02                             MinHopLCFVisitor::~MinHopLCFVisitor()
  0.04     46.98     0.02                             Link::allocate(double const&)
  0.04     47.00     0.02                             FlowList::update(double const&)
  0.04     47.02     0.02                             Topology::setLinkCostFunction(std::string const&)
  0.04     47.04     0.02                             Topology::rollbackLinkListMemento(LinkListMemento*)
  0.04     47.06     0.02                             __gnu_cxx::new_allocator<int>::new_allocator()
  0.04     47.08     0.02                             Link::getSource() const
  0.04     47.10     0.02                             Topology::getLinkIterator() const
  0.04     47.12     0.02                             std::_Select1st<std::pair<int const, Link*> >::operator()(std::pair<int const, Link*> const&) const
  0.04     47.14     0.02                             std::map<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::key_comp() const
  0.04     47.16     0.02                             std::vector<int, std::allocator<int> >::_M_range_check(unsigned long) const
  0.04     47.18     0.02                             std::allocator<int>::~allocator()
  0.04     47.20     0.02                             std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl()
  0.04     47.22     0.02                             std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  0.04     47.24     0.02                             std::_Deque_iterator<int, int const&, int const*>::operator++()
  0.04     47.26     0.02                             std::_Rb_tree_iterator<std::pair<double const, Flow> >::operator++()
  0.04     47.28     0.02                             std::_Rb_tree_iterator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >*)
  0.04     47.30     0.02                             std::map<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::end()
  0.04     47.32     0.02                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, Link*> >, int const&)
  0.04     47.34     0.02                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::find(int const&)
  0.04     47.36     0.02                             std::_Deque_iterator<int, int&, int*>::difference_type std::operator-<int, int&, int*>(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.03     47.37     0.02                             std::allocator<double>::allocator()
  0.03     47.39     0.02                             std::allocator<int>::allocator()
  0.03     47.40     0.02                             operator delete(void*, void*)
  0.02     47.41     0.01                             _GLOBAL__sub_I__ZN10BufferListD2Ev
  0.02     47.42     0.01                             _GLOBAL__sub_I__ZN17DijkstraAlgorithmC2ERKSt5dequeISsSaISsEE
  0.02     47.43     0.01                             FlowManager::create(int, int, double, double)
  0.02     47.44     0.01                             ExponentialVar::generate()
  0.02     47.45     0.01                             SimpleVariable<double>::operator+=(SimpleVariable<double> const&)
  0.02     47.46     0.01                             SimpleVariable<unsigned long>::add(unsigned long const&)
  0.02     47.47     0.01                             SimpleVariable<unsigned long>::operator+=(SimpleVariable<unsigned long> const&)
  0.02     47.48     0.01                             LinkListIterator::LinkListIterator(std::map<int, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > > const*)
  0.02     47.49     0.01                             DijkstraAlgorithm::compute(Flow const&)
  0.02     47.50     0.01                             WSDijkstraAlgorithm::compute(Flow const&)
  0.02     47.51     0.01                             PeriodLSUpdateVisitor::updateLSCapacity()
  0.02     47.52     0.01                             AbstractNetworkElement::~AbstractNetworkElement()
  0.02     47.53     0.01                             Link::release(double const&)
  0.02     47.54     0.01                             Model::~Model()
  0.02     47.55     0.01                             __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<double const, Flow> > >::deallocate(std::_Rb_tree_node<std::pair<double const, Flow> >*, unsigned long)
  0.02     47.56     0.01                             void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.02     47.57     0.01                             __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
